Sample_ID,Material,SiO2,TiO2,Al2O3,Cr2O3,FeO,NiO,MnO,MgO,CaO,Na2O,K2O,Latitude,Longitute,Elevation,Tectonic,Rock,Reference,Method,Expedition
ALV0906-R007,GL,50.18,1.42,15.53,0.01,9.3,0.02,0.06,7.99,11.93,2.83,0.17,20.87,-109.07,-2600,SPREADING_CENTER,IVM, igneous:volcanic:mafic,EISSEN, 1982,EMP,ALVIN 0906 
ALV0907-R001,GL,50.67,1.36,15.34,0,8.79,0,0.08,7.9,12.42,2.95,0.09,20.87,-109.08,-2585,SPREADING_CENTER,IVM, igneous:volcanic:mafic,EISSEN, 1982,EMP,ALVIN 0907 
ALV0911-R004,GL,50.78,1.57,15.01,0,9.7,0.02,0.23,7.58,11.41,2.93,0.13,20.85,-109.07,,SPREADING_CENTER,IVM, igneous:volcanic:mafic,EISSEN, 1982,EMP,ALVIN 0911 
ALV0912-R004D,GL,50.94,1.53,14.82,0.07,9.71,0.05,0.18,7.69,11.39,2.93,0.12,20.87,-109.07,-2600,SPREADING_CENTER,IVM, igneous:volcanic:mafic,EISSEN, 1982,EMP,ALVIN 0912 
ALV0916-R002,GL,49.67,1.19,16.57,0.03,8.26,0,0.14,8.77,11.39,2.83,0.05,20.83,-109.1,-2615,SPREADING_CENTER,IVM, igneous:volcanic:mafic,EISSEN, 1982,EMP,ALVIN 0916 
ALV0920-R012,GL,50.73,2.38,13.27,0.01,12.88,0.02,0.29,6.8,10.33,2.95,0.08,20.95,-109.3,-2800,SPREADING_CENTER,IVM, igneous:volcanic:mafic,EISSEN, 1982,EMP,ALVIN 0920 
ALV0923-R002,GL,49.91,1.05,16.65,0,7.89,0,0.03,8.97,12.45,2.53,0.04,20.82,-109.12,-2602,SPREADING_CENTER,IVM, igneous:volcanic:mafic,EISSEN, 1982,EMP,ALVIN 0923 
ALV0923-R005,GL,50.93,1.4,15.22,0.01,9.26,0,0,7.53,12.16,2.93,0.14,20.82,-109.12,-2602,SPREADING_CENTER,IVM, igneous:volcanic:mafic,EISSEN, 1982,EMP,ALVIN 0923 
ALV0923-R006,GL,50.08,1.13,15.09,0,9.12,0,0.09,8.27,12.65,2.7,0.07,20.82,-109.12,-2602,SPREADING_CENTER,IVM, igneous:volcanic:mafic,EISSEN, 1982,EMP,ALVIN 0923 
CHRSR01-002-102,GL,51.74,1.58,14.55,0,10.47,0,0.16,7.1,10.82,3.22,0.26,15.817,-105.4,-2750,SPREADING_CENTER,IVM, igneous:volcanic:mafic,EISSEN, 1982,EMP,SEARISE 1 
CHRSR01-002-201,GL,50.31,1.52,14.29,0.1,10.53,0.02,0.09,7.06,11.51,3.26,0.23,15.817,-105.4,-2750,SPREADING_CENTER,IVM, igneous:volcanic:mafic,EISSEN, 1982,EMP,SEARISE 1 
CHRSR01-002RT-101,GL,50.47,1.29,16.72,0.06,8.32,0.01,0.16,8.78,11.32,2.83,0.15,15.817,-105.4,-2750,SPREADING_CENTER,IVM, igneous:volcanic:mafic,EISSEN, 1982,EMP,SEARISE 1 
